X,Y,NAME,ADDRESS,ZIPCODE,WARD,LATITUDE,LONGITUDE,OBJECTID,XCOORD,YCOORD,MAR_ID,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8574525.99914777,4719052.28705954,PNC Bank,7601 GEORGIA AVENUE NW,20012,Ward 4,38.98170436,-77.02627529,1,397723.39,145975.5,253715,BankPt_104,,{556B5591-577D-4E76-8735-4380271BEFCF},,,GHATCHARD,2024/04/30 00:57:56+00
-8574676.67790358,4717174.74266154,M&T Bank,6434 GEORGIA AVENUE NW,20012,Ward 4,38.96859221,-77.02762887,2,397605.67,144519.96,253291,BankPt_86,,{AD8CC4FD-93BD-4B54-9E2D-CB9E66808CF2},,,GHATCHARD,2024/04/30 00:41:18+00
-8574685.19894474,4717104.601995,Truist Bank,6422 GEORGIA AVENUE NW,20012,Ward 4,38.96810232,-77.02770541,3,397599.02,144465.58,285336,BankPt_144,,{278563D3-76D1-4C07-A346-1668E59340E8},,,,
-8580060.52514519,4716845.58408699,Wells Fargo Bank,5701 CONNECTICUT AVENUE NW,20015,Ward 3,38.96629322,-77.07599277,4,393414.22,144267.13,263948,BankPt_198,,{91C6F1BB-D86B-4C1C-BAB8-99DCB05E941C},,,GHATCHARD,2024/05/01 00:12:39+00
-8580131.69352334,4716822.85073484,Citibank,5700 CONNECTICUT AVENUE NW,20015,Ward 3,38.96613444,-77.07663209,6,393358.8,144249.55,274635,BankPt_49,,{298F2EF3-E851-40CE-BDAB-5A1C8F2EE369},,,GHATCHARD,2024/04/27 00:49:39+00
-8580107.51751711,4716759.26141901,M&T Bank,5630 CONNECTICUT AVENUE NW,20015,Ward 3,38.9656903,-77.07641491,7,393377.58,144200.23,263863,BankPt_87,,{8724BA12-F453-4E9A-88B9-833D36D186C5},,,GHATCHARD,2024/04/30 00:22:46+00
-8579996.94455908,4716489.62322191,PNC Bank,5530 CONNECTICUT AVENUE NW,20015,Ward 3,38.96380696,-77.07542162,8,393463.49,143991.09,263837,BankPt_105,,{75B1FFE3-C1E2-490A-B027-40893CB2672D},,,GHATCHARD,2024/04/30 00:57:00+00
-8581223.14319076,4715658.25897746,The National Capital Bank of Washington,5228 44TH STREET NW,20015,Ward 3,38.95799981,-77.08643675,9,392508.24,143347.29,267740,BankPt_137,,{E023A1A0-9B0A-4B4A-B6A7-5DFA8DEDB0AB},,,,
-8580910.6627092,4715545.55525515,Bank of America,5201 WISCONSIN AVENUE NW,20015,Ward 3,38.95721132,-77.08363023,11,392751.41,143259.57,274083,BankPt_20,,{4C3298E0-2394-42C5-AFF1-BE8ECD0F09A5},,,GHATCHARD,2024/04/26 21:28:56+00
-8580936.13571715,4715414.28199539,Wells Fargo Bank,5100 WISCONSIN AVENUE NW,20016,Ward 3,38.95629519,-77.08385851,12,392731.53,143157.89,265883,BankPt_199,,{914ED536-E772-4097-A238-AC4C91E84E36},,,GHATCHARD,2024/05/01 00:06:05+00
-8580778.51670239,4715221.5482979,Citibank,5001 WISCONSIN AVENUE NW,20016,Ward 3,38.95494917,-77.0824426,13,392854.12,143008.32,266053,BankPt_51,,{F00198C3-90E1-45AC-8B03-623533CF8FFE},,,GHATCHARD,2024/04/27 00:48:33+00
-8579416.34604995,4715220.66731328,Truist Bank,5000 CONNECTICUT AVENUE NW,20008,Ward 3,38.95494301,-77.07020602,14,393914.75,143006.75,285038,BankPt_149,,{D381AC71-027A-4489-8264-C709144FB4C9},,,,
